Company,Date of Tweet,Number of Retweets,Number of Favorites,Number of Followers,Tweet
accuchek_us,Sun Nov 06 13:45:15 +0000 2016,1,1422,12238,
accuchek_us,Sun Nov 06 04:14:55 +0000 2016,0,1422,12238,
accuchek_us,Sun Nov 06 03:53:55 +0000 2016,0,1422,12238,
accuchek_us,Sun Nov 06 01:46:11 +0000 2016,0,1422,12238,
accuchek_us,Sat Nov 05 23:38:20 +0000 2016,0,1422,12238,
accuchek_us,Sat Nov 05 23:16:59 +0000 2016,0,1422,12238,
accuchek_us,Sat Nov 05 23:06:30 +0000 2016,0,1422,12238,
accuchek_us,Sat Nov 05 13:15:17 +0000 2016,0,1422,12238,
accuchek_us,Fri Nov 04 19:55:11 +0000 2016,1,1422,12238,
accuchek_us,Fri Nov 04 19:54:27 +0000 2016,3,1422,12238,
accuchek_us,Fri Nov 04 19:54:05 +0000 2016,1,1422,12238,
accuchek_us,Fri Nov 04 16:38:07 +0000 2016,0,1422,12238,
accuchek_us,Fri Nov 04 16:35:22 +0000 2016,3,1422,12238,
accuchek_us,Fri Nov 04 16:16:36 +0000 2016,21,1422,12238,
accuchek_us,Fri Nov 04 16:15:31 +0000 2016,0,1422,12238,
accuchek_us,Fri Nov 04 15:09:33 +0000 2016,0,1422,12238,
accuchek_us,Fri Nov 04 14:12:23 +0000 2016,0,1422,12238,
accuchek_us,Fri Nov 04 13:04:48 +0000 2016,6,1422,12238,
accuchek_us,Thu Nov 03 21:25:33 +0000 2016,3,1422,12238,
accuchek_us,Thu Nov 03 20:01:14 +0000 2016,57,1422,12238,
accuchek_us,Thu Nov 03 18:49:02 +0000 2016,0,1422,12238,
accuchek_us,Thu Nov 03 18:37:42 +0000 2016,0,1422,12238,
accuchek_us,Thu Nov 03 17:30:23 +0000 2016,2,1422,12238,
accuchek_us,Thu Nov 03 15:24:19 +0000 2016,133,1422,12238,
accuchek_us,Thu Nov 03 15:23:13 +0000 2016,56,1422,12238,
accuchek_us,Thu Nov 03 15:20:29 +0000 2016,0,1422,12238,
accuchek_us,Wed Nov 02 21:24:44 +0000 2016,22,1422,12238,
accuchek_us,Wed Nov 02 21:22:32 +0000 2016,18,1422,12238,
accuchek_us,Wed Nov 02 21:20:56 +0000 2016,1,1422,12238,
accuchek_us,Wed Nov 02 19:39:01 +0000 2016,10,1422,12238,
accuchek_us,Wed Nov 02 19:34:58 +0000 2016,0,1422,12238,
accuchek_us,Wed Nov 02 16:35:44 +0000 2016,0,1422,12238,
accuchek_us,Wed Nov 02 13:38:37 +0000 2016,0,1422,12238,
accuchek_us,Wed Nov 02 13:36:32 +0000 2016,22,1422,12238,
accuchek_us,Tue Nov 01 17:32:26 +0000 2016,0,1422,12238,
