Company,Date of Tweet,Number of Retweets,Number of Favorites,Number of Followers,Tweet
Tandem,Thu Sep 29 18:01:49 +0000 2016,1,499,4604,
Tandem,Thu Sep 29 14:03:17 +0000 2016,2,499,4604,
Tandem,Wed Sep 28 23:11:46 +0000 2016,0,499,4604,
Tandem,Wed Sep 28 23:11:13 +0000 2016,0,499,4604,
Tandem,Wed Sep 28 18:20:09 +0000 2016,0,499,4604,
Tandem,Tue Sep 27 18:00:42 +0000 2016,0,499,4604,
Tandem,Tue Sep 27 15:52:42 +0000 2016,0,499,4604,
Tandem,Mon Sep 26 22:09:13 +0000 2016,0,499,4604,
Tandem,Mon Sep 26 18:02:37 +0000 2016,1,499,4604,
Tandem,Fri Sep 23 14:02:27 +0000 2016,1,499,4604,
Tandem,Thu Sep 22 18:01:46 +0000 2016,1,499,4604,
Tandem,Thu Sep 22 17:33:37 +0000 2016,0,499,4604,
Tandem,Thu Sep 22 14:01:43 +0000 2016,0,499,4604,
Tandem,Wed Sep 21 14:01:37 +0000 2016,6,499,4604,
Tandem,Tue Sep 20 18:01:48 +0000 2016,0,499,4604,
Tandem,Tue Sep 20 14:01:46 +0000 2016,2,499,4604,
Tandem,Mon Sep 19 23:55:28 +0000 2016,0,499,4604,
Tandem,Mon Sep 19 22:49:28 +0000 2016,0,499,4604,
Tandem,Mon Sep 19 18:00:27 +0000 2016,1,499,4604,
Tandem,Mon Sep 19 17:02:05 +0000 2016,0,499,4604,
Tandem,Mon Sep 19 16:59:16 +0000 2016,0,499,4604,
Tandem,Mon Sep 19 16:15:14 +0000 2016,2,499,4604,
Tandem,Fri Sep 16 23:39:18 +0000 2016,0,499,4604,
Tandem,Fri Sep 16 18:02:41 +0000 2016,0,499,4604,
Tandem,Thu Sep 15 00:00:57 +0000 2016,0,499,4604,
Tandem,Wed Sep 14 18:02:29 +0000 2016,0,499,4604,
Tandem,Wed Sep 14 16:35:07 +0000 2016,0,499,4604,
Tandem,Wed Sep 14 00:10:02 +0000 2016,0,499,4604,
Tandem,Tue Sep 13 23:59:59 +0000 2016,0,499,4604,
Tandem,Tue Sep 13 21:43:33 +0000 2016,0,499,4604,
Tandem,Tue Sep 13 20:17:52 +0000 2016,0,499,4604,
Tandem,Tue Sep 13 14:02:55 +0000 2016,0,499,4604,
Tandem,Tue Sep 13 00:22:29 +0000 2016,1,499,4604,
Tandem,Mon Sep 12 14:02:28 +0000 2016,0,499,4604,
