Company,Date of Tweet,Number of Retweets,Number of Favorites,Number of Followers,Tweet
OneTouch,Tue Aug 09 22:40:02 +0000 2016,0,99,9872,
OneTouch,Tue Aug 09 21:39:05 +0000 2016,0,99,9872,
OneTouch,Mon Aug 08 23:27:37 +0000 2016,0,99,9872,
OneTouch,Mon Aug 08 18:47:22 +0000 2016,0,99,9872,
OneTouch,Mon Aug 08 18:27:14 +0000 2016,0,99,9872,
OneTouch,Mon Aug 08 11:12:03 +0000 2016,0,99,9872,
OneTouch,Sun Aug 07 14:54:02 +0000 2016,0,99,9872,
OneTouch,Wed Aug 03 14:26:34 +0000 2016,0,99,9872,
OneTouch,Wed Aug 03 12:03:03 +0000 2016,0,99,9872,
OneTouch,Tue Aug 02 13:52:23 +0000 2016,0,99,9872,
OneTouch,Tue Aug 02 12:01:07 +0000 2016,0,99,9872,
OneTouch,Mon Aug 01 13:02:09 +0000 2016,0,99,9872,
OneTouch,Mon Aug 01 12:48:00 +0000 2016,0,99,9872,
OneTouch,Sat Jul 30 11:04:02 +0000 2016,0,99,9872,
OneTouch,Wed Jul 27 20:58:16 +0000 2016,0,99,9872,
OneTouch,Wed Jul 27 18:03:05 +0000 2016,1,99,9872,
OneTouch,Tue Jul 26 17:09:02 +0000 2016,1,99,9872,
OneTouch,Tue Jul 26 11:34:04 +0000 2016,0,99,9872,
OneTouch,Mon Jul 25 12:53:39 +0000 2016,0,99,9872,
OneTouch,Mon Jul 25 11:18:06 +0000 2016,2,99,9872,
OneTouch,Mon Jul 25 10:44:04 +0000 2016,0,99,9872,
OneTouch,Sun Jul 24 20:02:04 +0000 2016,2,99,9872,
OneTouch,Sun Jul 24 18:39:15 +0000 2016,0,99,9872,
OneTouch,Sat Jul 23 19:04:03 +0000 2016,5,99,9872,
OneTouch,Sat Jul 23 15:31:09 +0000 2016,1,99,9872,
OneTouch,Fri Jul 22 18:10:17 +0000 2016,0,99,9872,
OneTouch,Wed Jul 20 17:25:17 +0000 2016,0,99,9872,
OneTouch,Wed Jul 20 16:04:03 +0000 2016,1,99,9872,
OneTouch,Mon Jul 18 20:45:39 +0000 2016,0,99,9872,
OneTouch,Mon Jul 18 12:01:22 +0000 2016,2,99,9872,
OneTouch,Sat Jul 16 11:11:06 +0000 2016,0,99,9872,
OneTouch,Sat Jul 16 11:10:04 +0000 2016,0,99,9872,
OneTouch,Sat Jul 16 11:09:05 +0000 2016,1,99,9872,
OneTouch,Thu Jul 14 12:07:04 +0000 2016,0,99,9872,
OneTouch,Thu Jul 14 11:53:05 +0000 2016,2,99,9872,
OneTouch,Wed Jul 13 17:17:40 +0000 2016,0,99,9872,
OneTouch,Wed Jul 13 16:02:04 +0000 2016,0,99,9872,
OneTouch,Wed Jul 13 10:57:06 +0000 2016,1,99,9872,
OneTouch,Wed Jul 13 10:07:07 +0000 2016,1,99,9872,
OneTouch,Tue Jul 12 16:17:03 +0000 2016,1,99,9872,
OneTouch,Tue Jul 12 14:34:58 +0000 2016,0,99,9872,
OneTouch,Tue Jul 12 12:30:06 +0000 2016,1,99,9872,
OneTouch,Mon Jul 11 17:49:09 +0000 2016,0,99,9872,
OneTouch,Mon Jul 11 15:38:36 +0000 2016,0,99,9872,
OneTouch,Mon Jul 11 12:30:06 +0000 2016,2,99,9872,
OneTouch,Sat Jul 09 18:00:09 +0000 2016,2,99,9872,
OneTouch,Sat Jul 09 14:00:33 +0000 2016,1,99,9872,
OneTouch,Fri Jul 08 19:05:01 +0000 2016,0,99,9872,
