Company,Date of Tweet,Number of Retweets,Number of Favorites,Number of Followers,Tweet
Omnipod,Fri Sep 16 17:30:47 +0000 2016,2,356,649,
Omnipod,Fri Sep 16 15:15:45 +0000 2016,3,356,649,
Omnipod,Tue Sep 13 20:57:42 +0000 2016,4,356,649,
Omnipod,Tue Sep 13 19:57:56 +0000 2016,10,356,649,
Omnipod,Fri Sep 09 15:03:36 +0000 2016,2,356,649,
Omnipod,Wed Sep 07 18:02:48 +0000 2016,6,356,649,
Omnipod,Wed Sep 07 16:47:38 +0000 2016,4,356,649,
Omnipod,Wed Sep 07 13:04:26 +0000 2016,5,356,649,
Omnipod,Tue Sep 06 18:27:18 +0000 2016,0,356,649,
Omnipod,Mon Sep 05 19:02:30 +0000 2016,4,356,649,
Omnipod,Fri Sep 02 20:02:27 +0000 2016,7,356,649,
Omnipod,Thu Sep 01 12:22:09 +0000 2016,2,356,649,
Omnipod,Wed Aug 31 15:03:25 +0000 2016,4,356,649,
Omnipod,Wed Aug 31 13:55:22 +0000 2016,3,356,649,
Omnipod,Sun Aug 28 15:01:59 +0000 2016,1,356,649,
Omnipod,Thu Aug 25 18:54:01 +0000 2016,4,356,649,
Omnipod,Thu Aug 25 17:02:59 +0000 2016,4,356,649,
Omnipod,Thu Aug 25 03:01:08 +0000 2016,2,356,649,
Omnipod,Tue Aug 23 21:26:56 +0000 2016,8,356,649,
Omnipod,Sun Aug 21 17:01:45 +0000 2016,4,356,649,
Omnipod,Fri Aug 19 17:02:43 +0000 2016,4,356,649,
Omnipod,Thu Aug 18 21:42:01 +0000 2016,0,356,649,
Omnipod,Wed Aug 17 15:57:34 +0000 2016,0,356,649,
Omnipod,Wed Aug 17 15:02:47 +0000 2016,2,356,649,
Omnipod,Tue Aug 16 14:09:04 +0000 2016,5,356,649,
Omnipod,Mon Aug 15 17:27:33 +0000 2016,4,356,649,
Omnipod,Sun Aug 14 16:33:37 +0000 2016,1,356,649,
Omnipod,Sun Aug 14 15:01:54 +0000 2016,2,356,649,
Omnipod,Sat Aug 13 21:26:36 +0000 2016,5,356,649,
Omnipod,Sat Aug 13 21:15:20 +0000 2016,2,356,649,
Omnipod,Sat Aug 13 15:57:53 +0000 2016,1,356,649,
Omnipod,Fri Aug 12 21:02:12 +0000 2016,1,356,649,
Omnipod,Fri Aug 12 18:39:19 +0000 2016,1,356,649,
Omnipod,Fri Aug 12 16:35:00 +0000 2016,1,356,649,
Omnipod,Fri Aug 12 15:50:24 +0000 2016,1,356,649,
Omnipod,Fri Aug 12 15:02:26 +0000 2016,3,356,649,
Omnipod,Wed Aug 10 18:26:29 +0000 2016,2,356,649,
