Company,Date of Tweet,Number of Retweets,Number of Favorites,Number of Followers,Tweet
Medtronic,Mon Nov 14 18:39:16 +0000 2016,0,58,23562,
Medtronic,Mon Nov 14 18:39:03 +0000 2016,0,58,23562,
Medtronic,Mon Nov 14 18:34:29 +0000 2016,0,58,23562,
Medtronic,Mon Nov 14 18:16:05 +0000 2016,0,58,23562,
Medtronic,Mon Nov 14 16:56:55 +0000 2016,0,58,23562,
Medtronic,Mon Nov 14 16:56:52 +0000 2016,0,58,23562,
Medtronic,Mon Nov 14 13:59:58 +0000 2016,16,58,23562,
Medtronic,Sat Nov 12 17:00:57 +0000 2016,4,58,23562,
Medtronic,Fri Nov 11 23:25:33 +0000 2016,0,58,23562,
Medtronic,Fri Nov 11 23:22:20 +0000 2016,0,58,23562,
Medtronic,Fri Nov 11 21:09:04 +0000 2016,10,58,23562,
Medtronic,Fri Nov 11 17:52:20 +0000 2016,1,58,23562,
Medtronic,Fri Nov 11 17:39:44 +0000 2016,0,58,23562,
Medtronic,Fri Nov 11 17:38:16 +0000 2016,0,58,23562,
Medtronic,Fri Nov 11 17:04:37 +0000 2016,0,58,23562,
Medtronic,Fri Nov 11 16:57:30 +0000 2016,0,58,23562,
Medtronic,Fri Nov 11 01:23:58 +0000 2016,0,58,23562,
Medtronic,Thu Nov 10 23:19:31 +0000 2016,0,58,23562,
Medtronic,Thu Nov 10 23:15:13 +0000 2016,0,58,23562,
Medtronic,Thu Nov 10 23:13:28 +0000 2016,0,58,23562,
Medtronic,Thu Nov 10 21:36:58 +0000 2016,5,58,23562,
Medtronic,Thu Nov 10 18:36:58 +0000 2016,0,58,23562,
Medtronic,Thu Nov 10 17:30:48 +0000 2016,0,58,23562,
Medtronic,Wed Nov 09 23:08:47 +0000 2016,0,58,23562,
Medtronic,Wed Nov 09 22:56:35 +0000 2016,2,58,23562,
Medtronic,Wed Nov 09 18:29:57 +0000 2016,0,58,23562,
Medtronic,Wed Nov 09 17:42:33 +0000 2016,0,58,23562,
Medtronic,Wed Nov 09 17:42:06 +0000 2016,0,58,23562,
Medtronic,Tue Nov 08 21:56:58 +0000 2016,0,58,23562,
Medtronic,Tue Nov 08 19:06:58 +0000 2016,1,58,23562,
Medtronic,Tue Nov 08 17:51:39 +0000 2016,1,58,23562,
Medtronic,Tue Nov 08 17:48:38 +0000 2016,0,58,23562,
Medtronic,Tue Nov 08 17:48:35 +0000 2016,0,58,23562,
Medtronic,Tue Nov 08 17:47:52 +0000 2016,0,58,23562,
Medtronic,Mon Nov 07 23:49:53 +0000 2016,0,58,23562,
Medtronic,Mon Nov 07 23:21:43 +0000 2016,1,58,23562,
Medtronic,Mon Nov 07 23:18:06 +0000 2016,0,58,23562,
Medtronic,Mon Nov 07 23:17:45 +0000 2016,0,58,23562,
Medtronic,Mon Nov 07 23:17:10 +0000 2016,0,58,23562,
Medtronic,Mon Nov 07 23:15:15 +0000 2016,0,58,23562,
Medtronic,Mon Nov 07 21:32:48 +0000 2016,4,58,23562,
Medtronic,Mon Nov 07 20:28:09 +0000 2016,0,58,23562,
Medtronic,Mon Nov 07 20:27:32 +0000 2016,0,58,23562,
Medtronic,Mon Nov 07 17:40:31 +0000 2016,11,58,23562,
Medtronic,Mon Nov 07 16:59:54 +0000 2016,0,58,23562,
Medtronic,Sat Nov 05 17:43:58 +0000 2016,5,58,23562,
Medtronic,Sat Nov 05 16:30:56 +0000 2016,9,58,23562,
Medtronic,Sat Nov 05 16:18:07 +0000 2016,0,58,23562,
Medtronic,Sat Nov 05 15:42:23 +0000 2016,0,58,23562,
Medtronic,Sat Nov 05 14:59:58 +0000 2016,2,58,23562,
Medtronic,Fri Nov 04 22:15:11 +0000 2016,0,58,23562,
Medtronic,Fri Nov 04 22:13:09 +0000 2016,0,58,23562,
Medtronic,Fri Nov 04 20:01:12 +0000 2016,3,58,23562,
Medtronic,Fri Nov 04 17:57:56 +0000 2016,0,58,23562,
Medtronic,Fri Nov 04 16:35:23 +0000 2016,0,58,23562,
Medtronic,Fri Nov 04 16:13:11 +0000 2016,0,58,23562,
Medtronic,Fri Nov 04 16:01:48 +0000 2016,0,58,23562,
Medtronic,Fri Nov 04 15:58:44 +0000 2016,0,58,23562,
Medtronic,Fri Nov 04 14:50:42 +0000 2016,0,58,23562,
Medtronic,Thu Nov 03 23:02:57 +0000 2016,2,58,23562,
Medtronic,Thu Nov 03 22:23:05 +0000 2016,1,58,23562,
Medtronic,Thu Nov 03 22:03:58 +0000 2016,0,58,23562,
Medtronic,Thu Nov 03 20:01:58 +0000 2016,0,58,23562,
Medtronic,Thu Nov 03 17:45:20 +0000 2016,0,58,23562,
Medtronic,Thu Nov 03 17:38:03 +0000 2016,0,58,23562,
Medtronic,Thu Nov 03 17:11:58 +0000 2016,1,58,23562,
Medtronic,Wed Nov 02 21:47:32 +0000 2016,0,58,23562,
Medtronic,Wed Nov 02 20:47:04 +0000 2016,6,58,23562,
Medtronic,Wed Nov 02 16:58:04 +0000 2016,26,58,23562,
Medtronic,Wed Nov 02 15:41:07 +0000 2016,0,58,23562,
Medtronic,Tue Nov 01 21:15:58 +0000 2016,0,58,23562,
Medtronic,Tue Nov 01 20:09:58 +0000 2016,3,58,23562,
Medtronic,Tue Nov 01 18:56:49 +0000 2016,0,58,23562,
Medtronic,Tue Nov 01 18:56:25 +0000 2016,0,58,23562,
Medtronic,Tue Nov 01 17:51:53 +0000 2016,3,58,23562,
Medtronic,Tue Nov 01 16:44:23 +0000 2016,0,58,23562,
Medtronic,Tue Nov 01 16:26:29 +0000 2016,0,58,23562,
Medtronic,Tue Nov 01 16:22:42 +0000 2016,0,58,23562,
Medtronic,Tue Nov 01 16:19:05 +0000 2016,0,58,23562,
Medtronic,Tue Nov 01 16:16:32 +0000 2016,0,58,23562,
Medtronic,Mon Oct 31 22:13:10 +0000 2016,0,58,23562,
Medtronic,Mon Oct 31 19:59:33 +0000 2016,0,58,23562,
Medtronic,Mon Oct 31 19:59:16 +0000 2016,0,58,23562,
Medtronic,Mon Oct 31 17:49:23 +0000 2016,2,58,23562,
Medtronic,Mon Oct 31 16:49:33 +0000 2016,0,58,23562,
Medtronic,Mon Oct 31 16:44:14 +0000 2016,0,58,23562,
Medtronic,Mon Oct 31 16:37:56 +0000 2016,0,58,23562,
Medtronic,Mon Oct 31 16:30:56 +0000 2016,0,58,23562,
Medtronic,Mon Oct 31 16:30:53 +0000 2016,0,58,23562,
Medtronic,Mon Oct 31 16:17:01 +0000 2016,0,58,23562,
Medtronic,Mon Oct 31 16:00:12 +0000 2016,0,58,23562,
Medtronic,Sun Oct 30 18:52:44 +0000 2016,12,58,23562,
Medtronic,Sat Oct 29 16:25:09 +0000 2016,0,58,23562,
Medtronic,Sat Oct 29 16:25:06 +0000 2016,0,58,23562,
Medtronic,Sat Oct 29 16:24:48 +0000 2016,0,58,23562,
Medtronic,Sat Oct 29 16:24:41 +0000 2016,0,58,23562,
